src/components/UserJourney.tsx(37,3): error TS6133: 'WarningRounded' is declared but its value is never read.
src/components/UserJourney.tsx(236,25): error TS2322: Type '{ children: string | number | true | Iterable<ReactNode> | Element; sx: { bgcolor: string; border: number; borderColor: "warning.main" | "grey.300"; cursor: "pointer"; '&:hover': { ...; }; transition: "transform 0.2s"; }; onClick: () => void; }' is not assignable to type 'IntrinsicAttributes & TimelineDotProps'.
src/contexts/EventsContext.tsx(81,26): error TS2345: Argument of type 'string | undefined' is not assignable to parameter of type 'string'.
src/contexts/EventsContext.tsx(120,30): error TS2345: Argument of type '{}' is not assignable to parameter of type 'SetStateAction<{ sessionId: string; userId: string; hotel: string; destination: string; status: "LIVE" | "DORMANT" | "CONFIRMED_BOOKING" | "ABANDONED"; createdAt: string; updatedAt: string; currentStage: number; ... 9 more ...; ipAddress?: string | undefined; }[]>'.
src/contexts/EventsContext.tsx(124,23): error TS2339: Property 'forEach' does not exist on type '{}'.
src/contexts/EventsContext.tsx(124,31): error TS7006: Parameter 'session' implicitly has an 'any' type.
src/contexts/EventsContext.tsx(150,5): error TS2740: Type '{}' is missing the following properties from type '{ sessionId: string; userId: string; hotel: string; destination: string; status: "LIVE" | "DORMANT" | "CONFIRMED_BOOKING" | "ABANDONED"; createdAt: string; updatedAt: string; currentStage: number; ... 9 more ...; ipAddress?: string | undefined; }[]': length, pop, push, concat, and 28 more.
src/contexts/EventsContext.tsx(154,5): error TS2322: Type '{} | null' is not assignable to type '{ activeSessions: number; sessionsLastHour: number; eventsLastMinute: number; conversionRate?: number | undefined; } | null'.
src/contexts/HealthContext.tsx(70,5): error TS2322: Type 'number | false' is not assignable to type 'number | undefined'.
src/hooks/useAnalyticsData.ts(4,3): error TS6133: 'TopMetrics' is declared but its value is never read.
src/hooks/useAnalyticsData.ts(5,3): error TS6133: 'FunnelStage' is declared but its value is never read.
src/hooks/useAnalyticsData.ts(6,3): error TS6133: 'TopDestination' is declared but its value is never read.
src/hooks/useAnalyticsData.ts(7,3): error TS6133: 'TopHotel' is declared but its value is never read.
src/hooks/useAnalyticsData.ts(8,3): error TS6133: 'HeatmapDataPoint' is declared but its value is never read.
src/hooks/useAnalyticsData.ts(9,3): error TS6133: 'AnalyticsSession' is declared but its value is never read.
src/hooks/useAnalyticsData.ts(30,5): error TS2769: No overload matches this call.
src/hooks/useAnalyticsData.ts(41,5): error TS2769: No overload matches this call.
src/hooks/useAnalyticsData.ts(51,5): error TS2769: No overload matches this call.
src/hooks/useAnalyticsData.ts(61,5): error TS2769: No overload matches this call.
src/hooks/useAnalyticsData.ts(74,45): error TS2345: Argument of type 'TimeRange' is not assignable to parameter of type 'number | undefined'.
src/hooks/useAnalyticsData.ts(76,5): error TS2769: No overload matches this call.
src/hooks/useAnalyticsData.ts(87,5): error TS2769: No overload matches this call.
src/hooks/useAnalyticsData.ts(97,5): error TS2769: No overload matches this call.
src/hooks/useAnalyticsData.ts(129,39): error TS2559: Type '(string | undefined)[]' has no properties in common with type 'InvalidateQueryFilters<readonly unknown[]>'.
src/hooks/useAnalyticsData.ts(131,39): error TS2559: Type 'string[]' has no properties in common with type 'InvalidateQueryFilters<readonly unknown[]>'.
src/hooks/useAnalyticsData.ts(136,39): error TS2559: Type '(string | undefined)[]' has no properties in common with type 'InvalidateQueryFilters<readonly unknown[]>'.
src/hooks/useAnalyticsData.ts(138,39): error TS2559: Type 'string[]' has no properties in common with type 'InvalidateQueryFilters<readonly unknown[]>'.
src/hooks/useAnalyticsData.ts(141,26): error TS6133: 'propertyId' is declared but its value is never read.
src/hooks/useAnalyticsData.ts(142,37): error TS2559: Type 'string[]' has no properties in common with type 'InvalidateQueryFilters<readonly unknown[]>'.
src/hooks/useAnalyticsData.ts(143,37): error TS2559: Type 'string[]' has no properties in common with type 'InvalidateQueryFilters<readonly unknown[]>'.
src/hooks/useAnalyticsData.ts(146,37): error TS2559: Type '(string | undefined)[]' has no properties in common with type 'InvalidateQueryFilters<readonly unknown[]>'.
src/hooks/useAnalyticsData.ts(149,37): error TS2559: Type 'string[]' has no properties in common with type 'InvalidateQueryFilters<readonly unknown[]>'.
src/hooks/useAnalyticsData.ts(156,9): error TS6133: 'queryClient' is declared but its value is never read.
src/hooks/useAnalyticsData.ts(164,50): error TS2345: Argument of type 'TimeRange' is not assignable to parameter of type '"csv" | "json" | "xlsx" | undefined'.
src/hooks/useAnalyticsData.ts(167,46): error TS2345: Argument of type 'Blob | ExportResponse' is not assignable to parameter of type 'Blob | MediaSource'.
src/hooks/useAnalyticsWebSocket.ts(68,6): error TS6196: 'AnalyticsMessage' is declared but never used.
src/hooks/useAnalyticsWebSocket.ts(158,41): error TS2559: Type 'string[]' has no properties in common with type 'InvalidateQueryFilters<readonly unknown[]>'.
src/hooks/useAnalyticsWebSocket.ts(195,9): error TS2322: Type '"analytics.subscribe"' is not assignable to type '"SESSION_UPDATE" | "NEW_EVENT" | "METRICS_UPDATE" | "USER_COUNT" | "HEALTH_UPDATE" | "ERROR" | "PING" | "PONG" | "analytics.metrics.updated" | "session.updated" | undefined'.
src/hooks/useAnalyticsWebSocket.ts(209,9): error TS2322: Type '"analytics.subscribe"' is not assignable to type '"SESSION_UPDATE" | "NEW_EVENT" | "METRICS_UPDATE" | "USER_COUNT" | "HEALTH_UPDATE" | "ERROR" | "PING" | "PONG" | "analytics.metrics.updated" | "session.updated" | undefined'.
src/hooks/useEventsApi.ts(1,20): error TS6133: 'useMutation' is declared but its value is never read.
